"Drawing number","Product name","Client name","区分","材質","加工方法","外注先","板厚","発注№","Note","Drawing","見積書","注文書","ミルシート","作業指示書","検査成績書","不具合管理表","作業見本","製品見本","Registration date","URL"
"4P793661","取付板ASSY","ダイキン工業株式会社","通常","","","","","","","1","","","","","","","","","2025-06-23","https://zume-n.com/drawings/8817185"
"3P159116J","側板(鈑金)","ダイキン工業株式会社","通常","SGCC-F08,SGCC-F08,SGCC-F08,SGCC-F08","","","0.80,0.80,0.80,0.80","","","1","","","","","","","","","2025-06-23","https://zume-n.com/drawings/8817198"
"3P069784","取付板（マグネット）","ダイキン工業株式会社","通常","SPCC","","","0.8","","","1","","","","","","","","","2025-06-23","https://zume-n.com/drawings/8817199"
"4P431765H","付属品Assy","ダイキン工業株式会社","通常","","","","","","","1","","","","","","","","","2025-06-19","https://zume-n.com/drawings/8707294"
"4P431766A","付属品ASSY","ダイキン工業株式会社","通常","","","","","","","1","","","","","","","","","2025-06-19","https://zume-n.com/drawings/8707291"
"R3724519D","機械室立て切板","ダイキン工業株式会社","通常","SPCC,SGCC-F 0.8","","","2.30,2.00","","","1","","","","","","","","","2025-06-20","https://zume-n.com/drawings/8762679"
"3P804239","フレーム","","通常","SPHC,HDZ55","","","2.3","","","1","","","","","","","","","2025-06-19","https://zume-n.com/drawings/8707322"
"3P804238G","フレーム","","通常","SPHC,HDZ55","","","2.30,1.60","","","1","","","","","","","","","2025-06-19","https://zume-n.com/drawings/8707321"
"3P524708","PIPING FIXTURE","","通常","3SK42002-C,SGHC-FB G.E.G","","","2.10,6.60","","","1","","","","","","","","","2025-06-19","https://zume-n.com/drawings/8707318"
"3P818804","MOUNTING PLATE","","通常","SSK490-2020-B,SGHC-FEQ, t1.6","","","1.6","","","1","","","","","","","","","2025-06-19","https://zume-n.com/drawings/8707315"
"3P815681","STOP VALVE MOUNTING PLATE","","通常","SGHC-F05, E1.6","","","1.6","","","1","","","","","","","","","2025-06-19","https://zume-n.com/drawings/8707314"
"3P127487-1","BOTTOM FRAME ASSY","","通常","SUASP2A","","","","","","1","","","","","","","","","2025-06-19","https://zume-n.com/drawings/8707313"
"3P127479","BOTTOM FRAME","","通常","SGHC-ZN22,SGCC","","","1.60,2.30","","","1","","","","","","","","","2025-06-19","https://zume-n.com/drawings/8707312"
"4P205218","エンドプレート","","通常","SGHC-F08","","","1.6","","","1","","","","","","","","","2025-06-19","https://zume-n.com/drawings/8707310"
"3P683262","INSTALLATION MANUAL","","通常","","","","","","","1","","","","","","","","","2025-06-19","https://zume-n.com/drawings/8707308"
"3P433878A","取付説明書","","通常","","","","","","","1","","","","","","","","","2025-06-19","https://zume-n.com/drawings/8707305"
"3P433877","フィルタ","","通常","","","","","","","1","","","","","","","","","2025-06-19","https://zume-n.com/drawings/8707303"
"3P819039","樹脂ケースアッシ(センサASSY)","","通常","RESIN CASE","","","","","","1","","","","","","","","","2025-06-19","https://zume-n.com/drawings/8707300"
"4P817560A","WIRE HARNESS ASSY","","通常","UL1061, AWG26","","","","","","1","","","","","","","","","2025-06-19","https://zume-n.com/drawings/8707299"
"4P817567A","WIRE HARNESS ASSY","","通常","UL1061, AWG26,PAL-03V-F,SPAL-002T-P0.5,GHR-03V-S,SSHL-002T-P0.2","","","","","","1","","","","","","","","","2025-06-19","https://zume-n.com/drawings/8707296"
"2P137438A","遮蔽板(1)","ダイキン工業株式会社","通常","SPCC,SGCC-F08","","","1.00,1.00","","","1","","","","","","","","","2025-04-18","https://zume-n.com/drawings/6494634"
"2P125945F","側板（鉄板）","ダイキン工業株式会社","通常","SPCC,SPCC","","","0.80,0.80","","","1","","","","","","","","","2025-04-18","https://zume-n.com/drawings/6494632"
"3P809098A","配管固定具","ダイキン工業株式会社","通常","SGHC-ZN12orZN22,SGHC-ZN12orZN22,SGHC-ZN12orZN22","","","1.60,1.60,1.60","","","1","","","","","","","","","2025-06-09","https://zume-n.com/drawings/8369545"
"3P809096A","ドレンパン(鈑金)","ダイキン工業株式会社","通常","SGHC-ZN12orZN22,SGHC-ZN12orZN22,SGHC-ZN12orZN22","","","1.60,1.60,1.60","","","1","","","","","","","","","2025-06-09","https://zume-n.com/drawings/8369543"
"3P809095B","ドレンパン(鈑金)","ダイキン工業株式会社","通常","","","","","","","1","","","","","","","","","2025-06-09","https://zume-n.com/drawings/8369542"
"3P665036B","パッキングケース","ダイキン工業株式会社","通常","","","","","","","1","","","","","","","","","2025-06-09","https://zume-n.com/drawings/8369550"
"3P544697","PACKING CASE","ダイキン工業株式会社","通常","SUS,EG,EG,EG,乙","","","","","","1","","","","","","","","","2025-06-09","https://zume-n.com/drawings/8369549"
"3K025018","PACKING CASE","ダイキン工業株式会社","通常","PS,紙,SK","","","","","","1","","","","","","","","","2025-06-09","https://zume-n.com/drawings/8369548"
"3P793537","PACKING CASE","ダイキン工業株式会社","通常","C-8008相当","","","","","","1","","","","","","","","","2025-06-09","https://zume-n.com/drawings/8369547"
"3P795456B","BOTTOM FRAME FIXING PLATE","ダイキン工業株式会社","通常","SGCC-F08,SGHC-F08","","","1.20,2.30","","","1","","","","","","","","","2025-06-09","https://zume-n.com/drawings/8369546"
"3P809097","PIPING FIXTURE EV/SV WELD ASSY","ダイキン工業株式会社","通常","SPHC,SS400","","","3.20,9.00","","","1","","","","","","","","","2025-06-09","https://zume-n.com/drawings/8369544"
"3P814196","冷温水温度4-20mA出力","ダイキン工業株式会社","通常","ANTISWEAT MATERIAL","","","","","","1","","","","","","","","","2025-06-09","https://zume-n.com/drawings/8369540"
"4P730436C","ワイヤハーネス","ダイキン工業株式会社","通常","UL1015, AWG20 色: 赤,UL1015, AWG20 色: 白,moex,moex,単独菊形裸圧着端子,結束バンド","","","0.5","","","1","","","","","","","","","2025-06-09","https://zume-n.com/drawings/8369538"
"3P801177","THERMAL INSULATION TUBE","ダイキン工業株式会社","通常","架橋ポリエチレンフォーム PE発泡品","","","8.00,3.20,17.30","","","1","","","","","","","","","2025-06-09","https://zume-n.com/drawings/8369537"
"3P801176F","REFRIGERANT PIPE ASSY","ダイキン工業株式会社","通常","THERMAL INSULATION TUBE,COPPER TUBE + CML","","","","","","1","","","","","","","","","2025-06-09","https://zume-n.com/drawings/8369536"
"3P801381-E","REFRIGERANT PIPE ASSY","ダイキン工業株式会社","通常","BRZ51429,BRZ50162,BRZ50673","","","","","","1","","","","","","","","","2025-06-09","https://zume-n.com/drawings/8369535"
"3P801385A","THERMAL INSULATION TUBE","ダイキン工業株式会社","通常","ポリエチレンフォーム,ポレチレン","","","7.00,2.00","","","1","","","","","","","","","2025-06-09","https://zume-n.com/drawings/8369534"
"3P801175F","冷媒配管ＡＳＳ’Ｙ","ダイキン工業株式会社","通常","THERMAL INSULATION TUBE,THERMAL INSULATION,LABEL","","","","","","1","","","","","","","","","2025-06-09","https://zume-n.com/drawings/8369531"
"3P665035","パッキングケース","ダイキン工業株式会社","通常","金属板,ポリプロピレン","","","","","","1","","","","","","","","","2025-06-09","https://zume-n.com/drawings/8369530"
"3P793536","パッキングケース","ダイキン工業株式会社","通常","段ボール,EPS","","","30.00,300.00","","","1","","","","","","","","","2025-06-09","https://zume-n.com/drawings/8369527"
"3P544698","PACKING CASE","ダイキン工業株式会社","通常","CORRUGATED BOARD","","","","","","1","","","","","","","","","2025-06-09","https://zume-n.com/drawings/8369526"
"3KO23955D","パッケンケース","ダイキン工業株式会社","通常","","","","","","","1","","","","","","","","","2025-06-09","https://zume-n.com/drawings/8369525"
"3K014328","PACKING METHOD","ダイキン工業株式会社","通常","","","","","","","1","","","","","","","","","2025-06-09","https://zume-n.com/drawings/8369524"
"3P666792","パッキングケース","ダイキン工業株式会社","通常","スチール（表面処理なし）,発泡スチロール,ダンボール","","","","","","1","","","","","","","","","2025-06-09","https://zume-n.com/drawings/8369522"
"3P013324Q","蒸発板取付板","ダイキン工業株式会社","通常","SGCC-ZN12,SGCC-ZN12,SGCC-ZN12,SGCC-F08,SGCC-F08,SGCC-F08,SGCC-F08,SGCC-F08,SGCC-F08,SGCCF08,SGCC-F08,SGCCF08,SGCC-F08,SGCC-F08,SGCC-F08","","㈱永光工業","1.00,1.00,1.20,1.00,1.00,1.00,1.00,1.00,1.20,1.00,1.00,1.00,1.00,1.00,1.00","","","1","","","","","","","","","2025-06-09","https://zume-n.com/drawings/8336635"
"3P324003B","ステー（上）","ダイキン工業株式会社","通常","SGHC-ZN22,SGHC-F08,SGHC-F08","","","1.60,1.60,1.60","","","1","","","","","","","","","2025-05-16","https://zume-n.com/drawings/7361665"
"2P324004C","ステー","ダイキン工業株式会社","通常","","","","","","","1","","","","","","","","","2025-05-16","https://zume-n.com/drawings/7361666"
