"Drawing number","Product name","Client name","区分","材質","加工方法","外注先","板厚","発注№","Note","Drawing","見積書","注文書","ミルシート","作業指示書","検査成績書","不具合管理表","作業見本","製品見本","Registration date","URL"
"3P805528","電装品箱(蓋)","オーケー器材株式会社","通常","ZAM","","","1.6","","","1","","","","","","","","","2025-05-29","https://zume-n.com/drawings/7910237"
"3P805527","機器取付板(下)","オーケー器材株式会社","通常","SGCD1 Z27,SPCC T0.8","","","2.60,1.60,0.80","","","1","","","","","","","","","2025-05-29","https://zume-n.com/drawings/7910234"
"3P805526","機器取付板(上)","オーケー器材株式会社","通常","SPC 1.0 (CLASS 1) OTHERWISE SPECIFIED","","","1.2","","","1","","","","","","","","","2025-05-29","https://zume-n.com/drawings/7910233"
"3P805520","電装品箱ASSY","オーケー器材株式会社","通常","CAC406,SPHC-P","","","3.2","","","1","","","","","","","","","2025-05-29","https://zume-n.com/drawings/7910228"
"4P805524","電装品取付板","オーケー器材株式会社","通常","SK320-TR1-2,SGCC-Z-0.7-1,SGCC-SECC-0.8-1","","","0.8","","","1","","","","","","","","","2025-05-29","https://zume-n.com/drawings/7910209"
"4P805556","シール材","オーケー器材株式会社","通常","EKI-1526B6Z","","","3","","","1","","","","","","","","","2025-05-29","https://zume-n.com/drawings/7910211"
"4P805557","シール材","オーケー器材株式会社","通常","オスペック","","","2","","","1","","","","","","","","","2025-05-29","https://zume-n.com/drawings/7910213"
"3P805522","電装品箱(天板)","オーケー器材株式会社","通常","鉄,SGCC","","","2.2","","","1","","","","","","","","","2025-05-29","https://zume-n.com/drawings/7910215"
"2P806850","据付説明書(裏)","オーケー器材株式会社","通常","","","","","","","1","","","","","","","","","2025-05-29","https://zume-n.com/drawings/7910218"
"3P805523","電装品箱(底板)","オーケー器材株式会社","通常","SPHC-P,SECC-P","","","2.30,1.60","","","1","","","","","","","","","2025-05-29","https://zume-n.com/drawings/7910220"
"3D156392","電気配線図","オーケー器材株式会社","通常","紙","","","","","","1","","","","","","","","","2025-05-29","https://zume-n.com/drawings/7910222"
"3P813404","付属品ASSY","オーケー器材株式会社","通常","POLYAMIDE,SPHC 1.6,SECC 1.6,C1100P-1/2H","","","1.60,1.60","","","1","","","","","","","","","2025-05-29","https://zume-n.com/drawings/7910231"
"4PH02011","固定金具","ダイキン工業株式会社","通常","SPCC","","","1","","","1","","","","","","","","","2025-05-28","https://zume-n.com/drawings/7816711"
"4PE02784","電動機取付バンド","ダイキン工業株式会社","通常","SGCC-Z12","","","1","","","1","","","","","","","","","2025-05-28","https://zume-n.com/drawings/7816707"
"4SK05302J","六角タッピンネジ3種(M5)","ダイキン工業株式会社","通常","","","","","","","1","","","","","","","","","2025-05-28","https://zume-n.com/drawings/7816704"
"R413626E","ローターナット用廻り止座金","ダイキン工業株式会社","通常","SPHC","","","1.6","","","1","","","","","","","","","2025-05-28","https://zume-n.com/drawings/7816722"
"R4660259E","軸受","ダイキン工業株式会社","通常","","","","","","","1","","","","","","","","","2025-05-28","https://zume-n.com/drawings/7816697"
"4PA04074D","軸受振動防止ゴム","ダイキン工業株式会社","通常","NBR","","","","","","1","","","","","","","","","2025-05-28","https://zume-n.com/drawings/7816695"
"4PA04079G","軸受防振ゴムASSY","ダイキン工業株式会社","通常","","","","","","","1","","","","","","","","","2025-05-28","https://zume-n.com/drawings/7816689"
"4PA04075C","FIXING PLATE, BEARING","ダイキン工業株式会社","通常","SGCC-ZN22,SGCC-F08","","","1","","","1","","","","","","","","","2025-05-28","https://zume-n.com/drawings/7816686"
"4PE01041","軸受台補強板","ダイキン工業株式会社","通常","SPGC","","","1.6","","","1","","","","","","","","","2025-05-28","https://zume-n.com/drawings/7816684"
"4PA11857A","軸受台","ダイキン工業株式会社","通常","SPGC","","","1.60,1.60","","","1","","","","","","","","","2025-05-28","https://zume-n.com/drawings/7816676"
"4PE01042A","軸受台組立品","ダイキン工業株式会社","通常","","","","","","","1","","","","","","","","","2025-05-28","https://zume-n.com/drawings/7816674"
"4PE00836A","吸込口フランジ縦枠","ダイキン工業株式会社","通常","SGCC-Z12","","","1","","","1","","","","","","","","","2025-05-28","https://zume-n.com/drawings/7816671"
"4PE00788B","取付板前フランジ","ダイキン工業株式会社","通常","SGCC-Z12","","","0.6","","","1","","","","","","","","","2025-05-28","https://zume-n.com/drawings/7816667"
"4PA19019","鞍受台","ダイキン工業株式会社","通常","SPGC-Z27","","","1.6","","","1","","","","","","","","","2025-05-28","https://zume-n.com/drawings/7816659"
"3P526184A","側板(鈑金)","ダイキン工業株式会社","通常","SPCC,SPHC,SPCC,SPHC","","","1.00,1.60,1.00,1.60","","","1","","","","","","","","","2025-05-28","https://zume-n.com/drawings/7816648"
"3P526184A","側板(鈑金)","ダイキン工業株式会社","通常","SPCC,SPHC,SPCC,SPHC","","","1.00,1.60,1.00,1.60","","","1","","","","","","","","","2025-05-28","https://zume-n.com/drawings/7816640"
"4P808170","取付板ASSY","ダイキン工業株式会社","通常","","","","","","","1","","","","","","","","","2025-05-28","https://zume-n.com/drawings/7816633"
"4P807502A","取付板","ダイキン工業株式会社","通常","SGCC-2N22","","","1.2","","","1","","","","","","","","","2025-05-28","https://zume-n.com/drawings/7816631"
"4P807501A","取付板ASSY","ダイキン工業株式会社","通常","","","","","","","1","","","","","","","","","2025-05-28","https://zume-n.com/drawings/7816628"
"4PE02785","電動機取付バンド","ダイキン工業株式会社","通常","SGCC-Z12","","","1","","","1","","","","","","","","","2025-05-28","https://zume-n.com/drawings/7816624"
"1F037301D","梱包BOX組立品","ダイキン工業株式会社","通常","段ボール,合板,ビニール,鉄","","","0.80,1.20,3.50","","","1","","","","","","","","","2025-05-28","https://zume-n.com/drawings/7817625"
"1F041788","梱包BOX組立品(補用)","ダイキン工業株式会社","通常","GENERAL MATERIAL","","","","","","1","","","","","","","","","2025-05-28","https://zume-n.com/drawings/7817629"
"1F037301B","梱包BOX組立品","ダイキン工業株式会社","通常","RZ37292A(B),RZ37292B(B),RZ37293A(B),RZ37294A(B),RZ37294B(B)","","","","","","1","","","","","","","","","2025-05-28","https://zume-n.com/drawings/7817646"
"1F037301C","梱包BOX組立品","ダイキン工業株式会社","通常","","","","","","","1","","","","","","","","","2025-05-28","https://zume-n.com/drawings/7817651"
"2P141596F","吸込グリル","ダイキン工業株式会社","通常","SPCC","","","1","","","1","","","","","","","","","2025-05-20","https://zume-n.com/drawings/7531730"
"3P798974","据付説明書","オーケー器材株式会社","通常","上質紙55kg/連","","","","","","1","","","","","","","","","2025-05-22","https://zume-n.com/drawings/7602454"
"3P787625","梱包ボックス組立品","オーケー器材株式会社","通常","","","","","","","1","","","","","","","","","2025-05-22","https://zume-n.com/drawings/7602456"
"3P789030D","梱包ボックス組立品","オーケー器材株式会社","通常","","","","","","","1","","","","","","","","","2025-05-22","https://zume-n.com/drawings/7602457"
"3P737945","梱包ボックス組立品","オーケー器材株式会社","通常","","","","0.80,1.00","","","1","","","","","","","","","2025-05-22","https://zume-n.com/drawings/7602458"
"3P813846","据付説明書","オーケー器材株式会社","通常","上質紙55kg/連","","","0.5","","","1","","","","","","","","","2025-05-22","https://zume-n.com/drawings/7602506"
"3P798972","据付説明書","オーケー器材株式会社","通常","上質紙55kg/連","","","","","","1","","","","","","","","","2025-05-22","https://zume-n.com/drawings/7602459"
"3P798973-1B","据付説明書","オーケー器材株式会社","通常","上質紙55kg/連","","","1.20,1.60","","","1","","","","","","","","","2025-05-22","https://zume-n.com/drawings/7602461"
"3P800247","据付説明書","オーケー器材株式会社","通常","上質紙55kg/連","","","","","","1","","","","","","","","","2025-05-22","https://zume-n.com/drawings/7602464"
"3P800246","据付説明書","オーケー器材株式会社","通常","上質紙55kg/連","","","","","","1","","","","","","","","","2025-05-22","https://zume-n.com/drawings/7602467"
"3P798975B","据付説明書","オーケー器材株式会社","通常","上質紙55kg/連","","","","","","1","","","","","","","","","2025-05-22","https://zume-n.com/drawings/7602469"
"3P798976","据付説明書","オーケー器材株式会社","通常","上質紙55kg/連","","","","","","1","","","","","","","","","2025-05-22","https://zume-n.com/drawings/7602471"
"3P767143","取付説明書","オーケー器材株式会社","通常","上質紙55kg/連","","","","","","1","","","","","","","","","2025-05-22","https://zume-n.com/drawings/7602473"
"3P771488B","据付説明書","オーケー器材株式会社","通常","上質紙55kg/連","","","","","","1","","","","","","","","","2025-05-22","https://zume-n.com/drawings/7602476"
"R4621022 A","蒸発器支持金具","ダイキン工業株式会社","通常","SPHC","","","","","","1","","","","","","","","","2025-05-22","https://zume-n.com/drawings/7602477"
"4P817167","据付説明書(適用機種リスト)","オーケー器材株式会社","通常","","","","","","","1","","","","","","","","","2025-05-22","https://zume-n.com/drawings/7602478"
"3P809492A","据付説明書(表)","オーケー器材株式会社","通常","","","","","","","1","","","","","","","","","2025-05-22","https://zume-n.com/drawings/7602480"
"4PB05289B","配線クランプ材","オーケー器材株式会社","通常","","","","0.80,0.85,0.30,1.00","","","1","","","","","","","","","2025-05-22","https://zume-n.com/drawings/7602481"
"4P379188C","ラベル銘板(コード39)","オーケー器材株式会社","通常","","","","","","","1","","","","","","","","","2025-05-22","https://zume-n.com/drawings/7602482"
"4P807550A","ステー(底面1)","オーケー器材株式会社","通常","SGCC-ZN12, t1.0","","","1","","","1","","","","","","","","","2025-05-22","https://zume-n.com/drawings/7602483"
"4P814202A","パッキングケース","オーケー器材株式会社","通常","LB170×LB170×LB170","","","2","","","1","","","","","","","","","2025-05-22","https://zume-n.com/drawings/7602485"
"4P807533A","防音材 (側面ＡＳＳＹ)","オーケー器材株式会社","通常","SOUND INSULATION,PLASTIC BAND,PLAIN WASHER (BRIGHT ROUND),ALUMINUM RIVET","","","","","","1","","","","","","","","","2025-05-22","https://zume-n.com/drawings/7602495"
"4P807534A","防音材(側面)","オーケー器材株式会社","通常","フェルト,CTKH相当品","","","","","","1","","","","","","","","","2025-05-22","https://zume-n.com/drawings/7602496"
"4P815076","ラベル銘板(注意銘板記載項目)","オーケー器材株式会社","通常","","","","","","","1","","","","","","","","","2025-05-22","https://zume-n.com/drawings/7602497"
"4P811500A","付属品ＡＳＳＹ（ねじ袋部品)","オーケー器材株式会社","通常","ポリエチレン,POLYETHYLENE","","","","","","1","","","","","","","","","2025-05-22","https://zume-n.com/drawings/7602499"
"4P812675A","緩衝材（段ボール）","オーケー器材株式会社","通常","LB170×LB170","","","40","","","1","","","","","","","","","2025-05-22","https://zume-n.com/drawings/7602502"
"3P807544B","防音材(側面)","オーケー器材株式会社","通常","BASE MATERIAL,SOUND MATERIAL,MAGIC TAPE(LOOP SIDE),MAGIC TAPE(HOOK SIDE),HOTCHKISS PIN","","","","","","1","","","","","","","","","2025-05-22","https://zume-n.com/drawings/7602504"
"3P812348","防音材 (底面ASSY)","オーケー器材株式会社","通常","","","","2.00,1.60","","","1","","","","","","","","","2025-05-22","https://zume-n.com/drawings/7602508"
"3P807545","ステー(側面)","オーケー器材株式会社","通常","SS400-C1-S,SGC-ZN1-C1-0.8,SGC-ZN1-Z","","","0.8","","","1","","","","","","","","","2025-05-22","https://zume-n.com/drawings/7602510"
"3P812346","防音材(天面)","オーケー器材株式会社","通常","フェルト,CTKM1K4","","","2.80,3.30,1.70","","","1","","","","","","","","","2025-05-22","https://zume-n.com/drawings/7602513"
"3P812349A","防音材(底面)","オーケー器材株式会社","通常","NBR,C1K鋼板","","","1.50,2.30","","","1","","","","","","","","","2025-05-22","https://zume-n.com/drawings/7602514"
"3P812347","ステー (天面)","オーケー器材株式会社","通常","SGCC-2W1, t0.8","","","0.8","","","1","","","","","","","","","2025-05-22","https://zume-n.com/drawings/7602518"
"3P807553A","ステー(底面3)","オーケー器材株式会社","通常","SGCC-ZN1-ET.01","","","2.3","","","1","","","","","","","","","2025-05-22","https://zume-n.com/drawings/7602520"
"3P815073","ラベル銘板","オーケー器材株式会社","通常","","","","1","","","1","","","","","","","","","2025-05-22","https://zume-n.com/drawings/7602529"
"3P812345","防音材(天面ASSY)","オーケー器材株式会社","通常","アルミリベット,平板(表面用),吸音材","","","25","","","1","","","","","","","","","2025-05-22","https://zume-n.com/drawings/7602524"
"3P814432","パッキングケース(梱包完成品)","オーケー器材株式会社","通常","","","","10","","","1","","","","","","","","","2025-05-22","https://zume-n.com/drawings/7602527"
"3P807535","ステー(側面)","オーケー器材株式会社","通常","SS400-ZNIL,SGCC-ZNIL 5.0,SGCC-ZNIL 2.0t","","","5.00,2.00,8.00","","","1","","","","","","","","","2025-05-22","https://zume-n.com/drawings/7602534"
"3P812350","ステー（底面2）","オーケー器材株式会社","通常","SK42061-G,SECC-2N1, Z1.0","","","2.80,3.20,4.10","","","1","","","","","","","","","2025-05-22","https://zume-n.com/drawings/7602522"
"4P814440","付属品ASSY","オーケー器材株式会社","通常","","","","","","","1","","","","","","","","","2025-05-22","https://zume-n.com/drawings/7602498"
"4P814203A","緩衝材（スチロール）","オーケー器材株式会社","通常","EPS","","","2.00,15.00,24.00,53.00","","","1","","","","","","","","","2025-05-22","https://zume-n.com/drawings/7602494"
"4P811208A","ステー（ステーＡＳＳＹ）","オーケー器材株式会社","通常","","","","2.80,3.20,4.10","","","1","","","","","","","","","2025-05-22","https://zume-n.com/drawings/7602484"
"2P150649K","吸込グリル本体","ダイキン工業株式会社","通常","SPCC,SGCC-F08","","","1.00,1.00","","","1","","","","","","","","","2025-05-20","https://zume-n.com/drawings/7531731"
"R2722836E","吸込グリル","ダイキン工業株式会社","通常","SGCC-F08,SGCC-F08,SGCC-F08","","","1.00,1.20,1.20","","","1","","","","","","","","","2025-05-20","https://zume-n.com/drawings/7531732"
"R36211102H","吸込グリル","ダイキン工業株式会社","通常","塗装用SPG","","","1","","","1","","","","","","","","","2025-05-20","https://zume-n.com/drawings/7531733"
"2P155804B","吸込グリル本体","オーケー器材株式会社","通常","SPCC,SPCC,SPCC","","","1.00,1.00,1.00","","","1","","","","","","","","","2025-05-20","https://zume-n.com/drawings/7531734"
"2P156667A","吸込グリル本体(左)","オーケー器材株式会社","通常","SPCC","","","1.00,1.00","","","1","","","","","","","","","2025-05-20","https://zume-n.com/drawings/7531736"
"2P156680A","吸込グリル本体(右)","オーケー器材株式会社","通常","SPCC","","","1","","","1","","","","","","","","","2025-05-20","https://zume-n.com/drawings/7531737"
"3K08035","吸込グリル","オーケー器材株式会社","通常","SPCC,SPCC","","","1.00,1.00","","","1","","","","","","","","","2025-05-20","https://zume-n.com/drawings/7531738"
"3K08036","吸込グリル","オーケー器材株式会社","通常","SPCC","","","1.2","","","1","","","","","","","","","2025-05-20","https://zume-n.com/drawings/7531739"
"R2723880","吸込グリル本体","ダイキン工業株式会社","通常","SGCC-F08","","","1","","","1","","","","","","","","","2025-05-16","https://zume-n.com/drawings/7361664"
"2P016109H","吸込グリル (280A)","ダイキン工業株式会社","通常","亜鉛鋼板","","","1.6","","","1","","","","","","","","","2025-05-20","https://zume-n.com/drawings/7529204"
"R3725096G","吸込グリル補強板(上)","ダイキン工業株式会社","通常","SGCC-ZN12","","","1.00,1.00,1.00,1.00,1.00","","","1","","","","","","","","","2025-05-20","https://zume-n.com/drawings/7505117"
"R3725097F","グリル補強板（下）","ダイキン工業株式会社","通常","SGCC-ZN12","","","1.00,1.00,1.00,1.00,1.00","","","1","","","","","","","","","2025-05-20","https://zume-n.com/drawings/7505116"
"4P099948C","吸込グリルASSY","ダイキン工業株式会社","通常","","","","","","","1","","","","","","","","","2025-05-20","https://zume-n.com/drawings/7480439"
"R4621022","変電器支持金具","ダイキン工業株式会社","通常","SPHC","","","2.3","","","1","","","","","","","","","2025-05-19","https://zume-n.com/drawings/7474059"
"3P535501F","側板(鈑金)","ダイキン工業株式会社","通常","SGCC-ZN22,SGCC-ZN22,SGCC-ZN22,SGCC-ZN22,SGCC-F08,SGCC-F08,SGCC-F08,SGCC-F08","","","1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00","","","2","","","","","","","","","2025-05-16","https://zume-n.com/drawings/7361669"
"3P535515C","天板(鈑金)","ダイキン工業株式会社","通常","SGCC-F08","","","1","","","2","","","","","","","","","2025-05-16","https://zume-n.com/drawings/7361670"
"3P594484A","天板(鈑金)","ダイキン工業株式会社","通常","SGCC-F08,SGCC-F08","","","1.20,1.20","","","2","","","","","","","","","2025-05-16","https://zume-n.com/drawings/7361671"
"4P336778A","点検蓋","ダイキン工業株式会社","通常","SGCC-F08,SGCC-F08,SGCC-F08","","","0.80,0.80,0.80","","","1","","","","","","","","","2025-05-16","https://zume-n.com/drawings/7361674"
"R3723882F","吸込グリル下枠","ダイキン工業株式会社","通常","SPHC,SPHC","","","1.60,1.60","","","1","","","","","","","","","2025-05-16","https://zume-n.com/drawings/7361677"
"R2621091B","吹出グリル垂直羽根","ダイキン工業株式会社","通常","SPCC","","","0.8","","","1","","","","","","","","","2025-05-12","https://zume-n.com/drawings/7138493"
"R3621669A","吹出グリル垂直羽根","ダイキン工業株式会社","通常","SPCC","","","0.8","","","1","","","","","","","","","2025-05-12","https://zume-n.com/drawings/7138486"
"R2621240B","吹出グリル垂直羽根","ダイキン工業株式会社","通常","SPCC","","","0.8","","","1","","","","","","","","","2025-05-12","https://zume-n.com/drawings/7138483"
"R3723881B","吸込グリル上枠","ダイキン工業株式会社","通常","SPHC,SPHC","","","1.60,1.60","","","1","","","","","","","","","2025-05-16","https://zume-n.com/drawings/7361679"
"3P580132C","熱交取付板","ダイキン工業株式会社","通常","SGHC-ZN22,SGHC-ZN22","","","1.60,1.60","","","1","","","","","","","","","2025-05-12","https://zume-n.com/drawings/7138502"
"R3621236C","側板（鋼板）","ナカオ金属工業株式会社","通常","SPCC,SPCC,SPCC,SPCC","","","1.00,1.00,1.00,1.00","","","1","","","","","","","","","2025-05-12","https://zume-n.com/drawings/7138514"
"R3621664A","側板(鈑金)プレナム室側板","ナカオ金属工業株式会社","通常","SPCC,SPCC,SPCC,SPCC","","","1.00,1.00,1.00,1.00","","","1","","","","","","","","","2025-05-12","https://zume-n.com/drawings/7138470"
"3P016883D","吸込グリル補強板","ダイキン工業株式会社","通常","SPCC","","","1.2","","","1","","","","","","","","","2025-05-16","https://zume-n.com/drawings/7361676"
"3P797925B","ステー(上)","ダイキン工業株式会社","通常","SGHC-ZN22,SGHC-F08,SGHC-F08","","","2.30,2.30,2.30","","","1","","","","","","","","","2025-05-16","https://zume-n.com/drawings/7361675"
"R4621673B","防露材","ダイキン工業株式会社","通常","ポリエチレンフォーム,ポリエチレンフォーム","","","2.00,2.00","","","1","","","","","","","","","2025-05-12","https://zume-n.com/drawings/7138475"
"R36211248F","吹出口ASSY","ダイキン工業株式会社","通常","","","","","","","1","","","","","","","","","2025-05-12","https://zume-n.com/drawings/7138490"
"3P016882B","吸込グリル下枠","ダイキン工業株式会社","通常","SPHC","","","1.6","","","1","","","","","","","","","2025-05-16","https://zume-n.com/drawings/7361678"
"3P709740","注意書","ダイキン工業株式会社","通常","上質紙55kg/連","","","","","","1","","","","","","","","","2025-05-16","https://zume-n.com/drawings/7361672"
"2PA49696E","吸込グリルＡＳＳＹ","ダイキン工業株式会社","通常","SPCC,ZAM,PP,NYLON,SUS,SPCC (See REMARK)","","","2.00,1.20","","","1","","","","","","","","","2025-05-16","https://zume-n.com/drawings/7361663"
"2P337242","REAR PLATE (SHEET METAL)","ダイキン工業株式会社","通常","SM490YA,WHITE COATING","","","9","","","1","","","","","","","","","2025-05-16","https://zume-n.com/drawings/7361662"
"2P324002A","FRONT PLATE (SHEET METAL) (POWER SUPPLY WIRING IMAGE)","ダイキン工業株式会社","通常","SECC-T 1.6,SECC-T 1.4","","","1.60,1.40","","","1","","","","","","","","","2025-05-16","https://zume-n.com/drawings/7361661"
"2P324001A","前補強板","ダイキン工業株式会社","通常","SPFC F,SGCC-E","","","1.20,2.30","","","1","","","","","","","","","2025-05-16","https://zume-n.com/drawings/7361660"
"2P324000A","BWF T-SQ60","ダイキン工業株式会社","通常","SUS304","","","1.6","","","1","","","","","","","","","2025-05-16","https://zume-n.com/drawings/7361659"
"2P323999A","FRONT PLATE (SHEET METAL) (MIDDLE)","ダイキン工業株式会社","通常","BWL-P350BD","","","1.60,1.50","","","1","","","","","","","","","2025-05-16","https://zume-n.com/drawings/7361658"
"2P336977A","前板（上）／FRONT PLANE (UPPER)","ダイキン工業株式会社","通常","SPCE,SECC-T","","","1.20,1.60","","","1","","","","","","","","","2025-05-16","https://zume-n.com/drawings/7361657"
"2P329097","TOP PLATE (SHEET METAL)","ダイキン工業株式会社","通常","Aluminum 5052-H32,UNIFORM ALCLAD","","","3","","","1","","","","","","","","","2025-05-16","https://zume-n.com/drawings/7361656"
"2P323996D","左板金(鋼板製)","ダイキン工業株式会社","通常","SPCC-SD(C)","","","2.30,3.00","","","1","","","","","","","","","2025-05-16","https://zume-n.com/drawings/7361655"
"2P323995","右側板","ダイキン工業株式会社","通常","","","","2","","","1","","","","","","","","","2025-05-16","https://zume-n.com/drawings/7361654"
"2P323993","チルドドア ASSY","ダイキン工業株式会社","通常","SPFC340","","","1.6","","","1","","","","","","","","","2025-05-16","https://zume-n.com/drawings/7361652"
"R3621239C","吹出口ASSY","ダイキン工業株式会社","通常","","","","","","","1","","","","","","","","","2025-05-12","https://zume-n.com/drawings/7138480"
"R36211242E","側板(板金)(プレナム室側板)","ナカオ金属工業株式会社","量産","SPCC","","","1","","","1","","","","","","","","","2025-05-12","https://zume-n.com/drawings/7138467"
"R3621668C","吹出口ASSY","ダイキン工業株式会社","量産","","","","","","","1","","","","","","","","","2025-05-12","https://zume-n.com/drawings/7138477"
"3P580131C","熱交取付板","ダイキン工業株式会社","量産","SGKHC-ZN22-T1.6","","","1.6","","","1","","","","","","","","","2025-05-12","https://zume-n.com/drawings/7138508"
"3P815552試作","AIR OUTLET","ダイキン工業株式会社","通常","SS400,SS400,SS400","","","1.40,1.20,1.20","","","1","","","","","","","","","2025-05-08","https://zume-n.com/drawings/7008927"
"3P815554試作","吹出口フランジ","ダイキン工業株式会社","通常","SGHC-ZN25. T1.6","","","1.6","","","1","","","","","","","","","2025-05-08","https://zume-n.com/drawings/7008928"
"4P183538C","取付板","ダイキン工業株式会社","通常","SGCC-ZN22C","","","1","","","1","","","","","","","","","2025-04-18","https://zume-n.com/drawings/6495868"
"4P559569A","支柱","ダイキン工業株式会社","通常","","","","","","","1","","","","","","","","","2025-04-18","https://zume-n.com/drawings/6495967"
"4P572780F","電装品箱(蓋)","ダイキン工業株式会社","通常","SGCC-ZN12,SGCC-ZN12","","","0.80,0.80","","","1","","","","","","","","","2025-04-18","https://zume-n.com/drawings/6495970"
"4P597577A","取付板","ダイキン工業株式会社","通常","SGCC-ZN22,SGCC-F08,SGCC-F08","","","0.80,0.80,0.80","","","1","","","","","","","","","2025-04-18","https://zume-n.com/drawings/6495977"
"4P109446A","隅金(蒸発器後部受金ASSY)","ダイキン工業株式会社","通常","SPCC","","","","","","1","","","","","","","","","2025-04-18","https://zume-n.com/drawings/6495840"
"4P580786D","吹出ロフランジ","ダイキン工業株式会社","通常","3SK82001-18,SGHC-F08, t1.6,3SK82002-6","","","","","","1","","","","","","","","","2025-04-18","https://zume-n.com/drawings/6495973"
"4P527920","サービスボートキャップカバー","ダイキン工業株式会社","通常","SGCC-ZN22,SGCC-F08,SGCC-FO8","","","","","","1","","","","","","","","","2025-04-18","https://zume-n.com/drawings/6495964"
"4P521636","取付板assy","ダイキン工業株式会社","通常","AA,R3689392-4,R3689392-8","","","","","","1","","","","","","","","","2025-04-18","https://zume-n.com/drawings/6495959"
"4P521546C","取付板ASSY","ダイキン工業株式会社","通常","A1,A1","","","","","","1","","","","","","","","","2025-04-18","https://zume-n.com/drawings/6495957"
"4P502779A","配管取付板 (2-2)","ダイキン工業株式会社","通常","SGCC-F08, t1.2","","","","","","1","","","","","","","","","2025-04-18","https://zume-n.com/drawings/6495950"
"4P502775B","散水配管取付具(1)","ダイキン工業株式会社","通常","SGCC-F08 t1.2","","","","","","1","","","","","","","","","2025-04-18","https://zume-n.com/drawings/6495946"
"4P502643A","散水用ボックスステー","ダイキン工業株式会社","通常","SGHC-F08, t1.6","","","","","","1","","","","","","","","","2025-04-18","https://zume-n.com/drawings/6495943"
"4P502641","散水用ボックス","ダイキン工業株式会社","通常","3SK82002-6,SGHC-F08, t1.6","","","","","","1","","","","","","","","","2025-04-18","https://zume-n.com/drawings/6495940"
"4P485408B","支持板 熱交（1）","ダイキン工業株式会社","通常","3SK82002-6,SGHGC-F08, t1.6","","","","","","1","","","","","","","","","2025-04-18","https://zume-n.com/drawings/6495933"
"4P470824D","カバー","ダイキン工業株式会社","通常","SGCC-2NZ2-T1,SGCC-F08-T1,SUS304","","","","","","1","","","","","","","","","2025-04-18","https://zume-n.com/drawings/6495919"
"4P463385A","固定具（ヘッダー配管）","ダイキン工業株式会社","通常","SGCC-ZN22,t1,SGCC-F08,t1","","","","","","1","","","","","","","","","2025-04-18","https://zume-n.com/drawings/6495913"
"4P458211B","配管固定具（2）","ダイキン工業株式会社","通常","SGKC-2NZ2, t1,SGCC-F08, t1","","","","","","1","","","","","","","","","2025-04-18","https://zume-n.com/drawings/6495910"
"4P447283B","FIXTURE","ダイキン工業株式会社","通常","SGCC-ZN22,t1,SGCC-F08,t1","","","","","","1","","","","","","","","","2025-04-18","https://zume-n.com/drawings/6495903"
"4P419417C","MOUNTING PLATE ASSY (2)","ダイキン工業株式会社","通常","MOUNTING PLATE (2),PIPING FIXTURE,SEALING MATERIAL","","","","","","1","","","","","","","","","2025-04-18","https://zume-n.com/drawings/6495900"
"4P402863C","取付板ASSY","ダイキン工業株式会社","通常","SPCC","","","","","","1","","","","","","","","","2025-04-18","https://zume-n.com/drawings/6495897"
"4P3826001","HEADER OUTLET PIPING FIXTURE ASSY","ダイキン工業株式会社","通常","GKR001-Z,ASB040004","","","","","","1","","","","","","","","","2025-04-18","https://zume-n.com/drawings/6495893"
"4P280092B","固定具","ダイキン工業株式会社","通常","SGCC-ZN22,SGCC-F08,SGCC-F08","","","","","","1","","","","","","","","","2025-04-18","https://zume-n.com/drawings/6495889"
"4P277089C","固定具（冷媒配管止金）","ダイキン工業株式会社","通常","SGCC-Z22 t1.0","","","","","","1","","","","","","","","","2025-04-18","https://zume-n.com/drawings/6495885"
"4P244386A","サービス蓋","ダイキン工業株式会社","通常","SGCC-F08","","","","","","1","","","","","","","","","2025-04-18","https://zume-n.com/drawings/6495882"
"4P241277/A","DRIP PROOF COVER","ダイキン工業株式会社","通常","SGCC-ZN22,SGCC-FOB8,SGCC-FOB6","","","","","","1","","","","","","","","","2025-04-18","https://zume-n.com/drawings/6495878"
"4P240627","PIPE FIXING PLATE","ダイキン工業株式会社","通常","SGCC-ZN22,SGCC-F08","","","","","","1","","","","","","","","","2025-04-18","https://zume-n.com/drawings/6495874"
"4P191095","COVER ASSY(FLOOT SWITCH)","ダイキン工業株式会社","通常","DX BLACK 60 GLOSS","","","","","","1","","","","","","","","","2025-04-18","https://zume-n.com/drawings/6495871"
"3P054166E","ドレンパン(鈑金)","ダイキン工業株式会社","通常","SPCC-SD,JIS G 3452 1B","","","","","","1","","","","","","","","","2025-04-18","https://zume-n.com/drawings/6495553"
"4P179374D","取付板(フロートスイッチ)","ダイキン工業株式会社","通常","SPHC","","","","","","1","","","","","","","","","2025-04-18","https://zume-n.com/drawings/6495863"
"4P164712D","隔仕切板","ダイキン工業株式会社","通常","SGCC-F08","","","","","","1","","","","","","","","","2025-04-18","https://zume-n.com/drawings/6495860"
"4P130227C","サービス蓋","ダイキン工業株式会社","通常","SGCC-F08","","","","","","1","","","","","","","","","2025-04-18","https://zume-n.com/drawings/6495857"
"4P129253","取付板","ダイキン工業株式会社","通常","","","","","","","1","","","","","","","","","2025-04-18","https://zume-n.com/drawings/6495854"
